Empresa,Modalidade de apoio
Navcon Navegação e Controle Indústria e Comércio Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Valitech Indústria e Comércio Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Oliveira Rangel & Camargo Junior Ltda. - Oral Health,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Clorovale Diamantes Indústria e Comércio Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tecnocard Tecnologia Cartões Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
SDC Engenharia de Sistemas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Idea Sistemas Eletrônicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Eyetec Equipamentos Oftalmicos Indústria, Comércio Importação e Exportação Ltda. - EPP",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Laboratórios Químicos e Metrológicos Quimlab Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Intuição S/C Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Genomic Engenharia Molecular Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Proqualit Telecon Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Metal Plasma Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Lynx Tecnologia Eletrônica Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Linkgen Biotecnologia Veterinária Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Multivácuo Aeroespacial Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Equacional Elétrica e Mecânica Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tecnima Imagem e Automação Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Plastiviva Aplicações e Reciclagem de Polímeros Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Eletro Máquinas Comércio e Representações Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
PPE Engenheiros Associados S/C Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Optolink Indústria e Comércio Sociedade Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Torr Microsistemas Integrados de Pressão, Indústria e Comércio Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Infosoftware Sistemas Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Bio Pronto Indústria e Comércio de Produtos Biológicos Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Sun Quartz Indústria, Comércio e Manutenção de Dispositivos e Equipamentos para a Área de Telecomunicação Ltda. - ME",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Al Tech Comércio e Importação ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Realen Folheados Indústria Comércio e Exportação Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tech Chrom Instrumentos Analíticos Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Masa Peças e Serviços Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
SHD Empreendimentos e Participações Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Dynamis Comércio e Serviços Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Brats Indústria e Comércio de Produtos Metálicos Especiais Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Sima Comércio e Serviços Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tecnozinco Tratamento Superficial Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Metalex Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Newtech Assessoria Consultoria e Prestação de Serviços S/C Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Bluepoint Ambiental Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Quadros Systems Brasil Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Adiante Informática Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Coll Projetos e Tecnologia Ltda.- ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Lasertools Tecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Radium Systems Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
People Brasileducação Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Multi Vegetal Indústria e Comércio de Cosméticos e Produtos Naturais Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Átomo Radioproteção e Segurança Nuclear S/C Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Desenvolvimento e Tecnologia Mentortec Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Bioware Desenvolvimento e Tecnologia em Energia e Meio Ambiente Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Bhar Indústria e Comércio Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Pro-Line Serviços e Produtos Odontológicos e Ortopédicos Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Plantech Centro de Produção Vegetal Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Unisoma Matemática Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Brats Indústria e Comércio de Produtos Metálicos Especiais Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Auttran Automação de Transportes, Comércio e Indústria Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Vácuoflex Tecnologias Refletivas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
C O Egalon Consultoria - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
E+I Engenharia da Informação Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Imag Indústria e Comércio de Componentes Eletrônicos Ltda (IMAG),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Natural Products & Technologies Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Green Technologies Projetos Agroindustriais S/C Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ibasil Tecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Alpha Produtos Químicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ipsos Novaction Brasil Ltda (Ipsos),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Colly Química Indústria e Comércio Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Cyrbe do Brasil Indústria Química Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Bionova Mudas e Plantas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
E+I Engenharia da Informação Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Omnisys Engenharia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Optolink Indústria e Comércio Sociedade Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Uranet Projetos e Sistemas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Prince Air Models Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
MWA Comércio e Serviços Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Apyon Technology S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Gisplan Tecnologia da Geoinformação Ltda (GISPLAN),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Omnisys Engenharia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tecnorama Brinquedos Educativos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Qualilux Indústria de Equipamentos Ópticos e Eletrônicos Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
MRA Indústria de Equipamentos Eletrônicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Aronis Software Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
DNA Consult Genética e Biotecnologia S/S Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
HVAC Engenharia em Sistemas Ambientais Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Metaltech Sorocaba Equipamentos e Serviços Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Celeritas Desenvolvimento de Sistemas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Adespec Adesivos Especiais Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
KOM Montagens e Comércio Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Fernando Antonio Vanini - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Siporex Concreto Celular Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Itatex Indústria e Comércio de Cerâmica Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Versis Tecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Calmed Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Natu-Lyne Produtos de Materiais Biodegradáveis Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Electrocell Indústria e Comércio de Equipamentos Elétricos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Femto Indústria e Comércio de Instrumentos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Netvmi Tecnologia da Informação do Brasil Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Paperless Consultoria e Serviços, Sistemas de Gerenciamento da Informação",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Globalmaq Transdutores Magnéticos Indústria e Comércio Ltda (GLOBALMAQ),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Orbital Engenharia S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Light Tech Iluminação Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
NPA Núcleo de Pesquisas Aplicadas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
DLG Automação Industrial Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Metal Plasma Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Laboratório de Informática Aplicada,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Terraviva Consultoria Ambiental S/C Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Vittaflavor Indústria e Comércio Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Atlântica Assessoria Agroambiental Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Signalcard Tecnologia, Indústria e Comércio Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Brastec Indústria de Peças para Equipamentos Médicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Navcon Navegação e Controle Indústria e Comércio Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Inter-Metro Serviços Especiais Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Megatech Produtos Mecânicos Ltda (MEGATECH),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Cyrbe do Brasil Indústria Química Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Inbrapol Indústria e Comércio de Materiais Plásticos Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Kroma Equipamentos Especiais Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Metalúrgica Piacentini & Cia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tech Filter Indústria e Comércio Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Indústria Brasileira do Peixe Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Cutin & Cafruni Consultores Associados S/C Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
EQE Tecnologia Eletrônica Qualificada Espacial e Comércio Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tecxhall Tecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Erythro Assessoria Química S/C Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nanocore Biotecnologia Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
STQ Comércio e Serviços de Tecnologia Química Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Processo Soluções de Engenharia S/C Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Unitech Projetos, Pesquisas, Desenvolvimento, Consultoria e Comércio Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
BR Express S/C Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Brasil Ostrich Comercial, Importação e Exportação Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Góes Indústria e Comércio de Móveis Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Conceito Tecnologia Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Bio Soja Indústrias Químicas e Biológicas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
CP2 Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Async Serviços de Informática Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Associação dos Floricultores da Região da Via Dutra (AFLORD),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Perc Engenharia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Fotônica Tecnologia Ótica Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Lifemed Industrial de Equipamentos e Artigos Médicos e Hospitalares Ltda (LIFEMED),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Mextra Engenharia Extrativa de Metais Ltda (MEXTRA),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Metron - Física Aplicada & Instrumentação S/C Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Super Zinco Tratamento de Metais Comércio e Indústria Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Goen3 Indústria e Comércio de Artigos para a Saúde Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
PHB Industrial S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Natural Products & Technologies Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Angatuba Química Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Roberto de Menezes Lyra - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Global Eletroquímica Indústria e Comércio de Metais Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Optolink Indústria e Comércio Sociedade Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Agronutri Indústria e Comércio Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Roberta Baptista Rodrigues - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Luxsens Pesquisa Desenvolvimento de Sensores Optoeletrônicos Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
AGS Metalúrgica Indústria e Comércio Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Mobwise Consultoria em Engenharia e Softwares Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
ALS Laboratórios LS Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ranaville Agroindústria Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Brsensor Indústria Brasileira de Sensores Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
R4F Tecnologia em Telecomunicações Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Phyton Fórmulas Magistrais e Oficinas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Magnamed Tecnologia Médica S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Wmancer Technologies Desenvolvimento e Produção de Software Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Guatifer Usinagem e Ferramentaria Ltda (Guatifer),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
TECE Tecnologia e Ciência Educacional Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nantex Nanotecnologia Experimental Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Agricef Soluções Tecnológicas para Agricultura Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
CEMSA - Centro de Espectrometria de Massas Aplicada Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
CNPN Indústria e Comércio de Embalagens Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Fibrel Indústria e Comércio de Materiais Plásticos Reforçados e Luminárias Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Lumintech Marcadores Ópticos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Infomobile Tecnologia em Software Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Lumintech Marcadores Ópticos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Corollarium Tecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Welding Science Medar Comércio e Serviços de Equipamentos Elétricos e Eletrônicos Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Incon Eletrônica Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Empromec Indústria e Comércio de Instrumentos Odontológicos Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Unigen Tecnologia do DNA Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Cotec Tintas Serigráficas Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Bio Controle Métodos de Controle de Pragas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Optolink Indústria e Comércio Sociedade Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Dnapta Biotecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Muteki Automação Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nanocore Biotecnologia Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nanobras Indústria e Comércio de Produtos Químicos Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Micro Tube Ferramentaria de Precisão e Comércio Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Recepta Biofarma S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Essentii Pesquisa, Desenvolvimento e Inovação Ltda. - ME",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Clave Biotecnologia Serviços e Consultoria Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Magnamed Tecnologia Médica S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Lucotec Mecânica Industrial Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Sepia Assessoria e Consultoria Educacional, Pesquisa e Desenvolvimento Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Cromática Sistemas de Comunicação de Dados e Informática Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Novo Mel Biotecnologia e Análises Laboratoriais Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Excelchip Sistemas Eletrônicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Recaltech Desenvolvimento em Metalurgia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Viatech Indústria, Comércio e Prestação de Serviço Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Aquaplant Comercial Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Orbital Engenharia S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Fermentec Assistência Técnica em Fermentação Alcoólica Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Exactaderme Importação e Exportação Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Água da Mata Desenvolvimento Sustentável Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Plasmacro Indústria e Comércio de Polímeros Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Commodity Systems Empreendimentos e Participações Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Yago Lascane Consultoria em Pesquisa e Desenvolvimento de Produtos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Deoxi Biotecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Atenatec Soluções Tecnológicas Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
CLB Engenharia Consultiva S/S Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
EXA M Instrumentação Biomédica Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Alexandre Rodrigues da Silva Software,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Technomar Engenharia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Veridis Tecnologia da Informação Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Pro Bio Pesquisa e Desenvolvimento Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Probiom Tecnologia Pesquisa e Desenvolvimento Experimental em Ciências Físicas e Naturais,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Polikem Tecnologia em Polímeros Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Solo Sapiens Indústria e Comércio de Inoculantes Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
GTAC Soluções em Aviação Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Viegas Informática Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Partículas Desenvolvimento e Tecnologia em Materiais Ligno Celulósicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Transfix Transplante de Embriões Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Proteimax Consultoria S/S Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
ISystems Automação Industrial S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Sepia Assessoria e Consultoria Educacional, Pesquisa e Desenvolvimento Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Chemyunion Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Verdartis Desenvolvimento Biotecnológico Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Griaule Biometrics Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
